Name,Dealer Page Link,List Address,Phone,Website,Inventory Count,Score,Review Count,Business Hours,State,Website Provider,Website Phone,Website Email,Chat Widget,Dealer Type,Google Map Phone,Google Map Website,google maps url,Website Enrichment Notes
Economy Auto Sales,https://www.cargurus.com/Cars/m-Economy-Auto-Sales-sp276561,"317 Hanover St, Martins Ferry, OH 43935 (24 mi)",(740) 326-4388,http://www.economyautosalesinc.com,11,3.67,3,WED 9:00 AM-5:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-5:00 PM SAT 9:00 AM-2:00 PM,Ohio,,,,,private,(740) 633-6500,http://www.economyautosalesinc.com/,https://www.google.com/maps/search/?api=1&query=Economy%20Auto%20Sales%20317%20Hanover%20St%2C%20Martins%20Ferry%2C%20OH%2043935%20%2824%20mi%29,Website could not be loaded
Elm Grove Chrysler Dodge Jeep,https://www.cargurus.com/Cars/m-Elm-Grove-Chrysler-Dodge-Jeep-sp63509,"2538 National Rd, Wheeling, WV 26003 (25 mi)",(304) 427-6018,https://www.elmgrovechryslerdodgejeep.com/,128,3,1,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,Dealer Inspire,+13042444976,info@drivestraub.com,Impel,franchise,(304) 396-1712,https://www.elmgrovechryslerdodgejeep.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,https://www.google.com/maps/search/?api=1&query=Elm%20Grove%20Chrysler%20Dodge%20Jeep%202538%20National%20Rd%2C%20Wheeling%2C%20WV%2026003%20%2825%20mi%29,
Singer Auto Sales,https://www.cargurus.com/Cars/m-Singer-Auto-Sales-sp331927,"44194 Fairground Rd., Caldwell, OH 43724 (25 mi)",(740) 807-4104,http://www.singerautosales.com/,13,0,0,WED 8:00 AM-6:00 PM MON 8:00 AM-6:00 PM THU 8:00 AM-6:00 PM TUE 8:00 AM-6:00 PM FRI 8:00 AM-6:00 PM SAT 8:00 AM-12:00 PM,Ohio,,,,,private,(740) 732-2221,http://singerautosales.com/,https://www.google.com/maps/search/?api=1&query=Singer%20Auto%20Sales%2044194%20Fairground%20Rd.%2C%20Caldwell%2C%20OH%2043724%20%2825%20mi%29,Website could not be loaded
Wheeling Volkswagen Subaru,https://www.cargurus.com/Cars/m-Wheeling-Volkswagen-Subaru-sp328080,"1 National Road, Wheeling, WV 26003 (26 mi)",Not Specified,Not Specified,123,5,1,WED 9:00 AM-6:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-4:00 PM,Ohio,,,,,franchise,(304) 242-7313,https://www.wheelingsubaru.com/,https://www.google.com/maps/search/?api=1&query=Wheeling%20Volkswagen%20Subaru%201%20National%20Road%2C%20Wheeling%2C%20WV%2026003%20%2826%20mi%29,No dealer website provided
Straub Nissan,https://www.cargurus.com/Cars/m-Straub-Nissan-sp291624,"205 Straub Drive, Triadelphia, WV 26059 (28 mi)",Not Specified,Not Specified,123,0,0,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(304) 403-7565,http://www.straubnissan.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,https://www.google.com/maps/search/?api=1&query=Straub%20Nissan%20205%20Straub%20Drive%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,No dealer website provided
Straub Hyundai,https://www.cargurus.com/Cars/m-Straub-Hyundai-sp306764,"80 Straub Dr., Triadelphia, WV 26059 (28 mi)",Not Specified,Not Specified,130,0,0,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(833) 955-1854,http://www.straubhyundai.com/,https://www.google.com/maps/search/?api=1&query=Straub%20Hyundai%2080%20Straub%20Dr.%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,No dealer website provided
Straub Honda,https://www.cargurus.com/Cars/m-Straub-Honda-sp280760,"200 Straub Dr, Triadelphia, WV 26059 (28 mi)",Not Specified,Not Specified,282,0,0,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,,,https://www.google.com/maps/search/?api=1&query=Straub%20Honda%20200%20Straub%20Dr%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,No dealer website provided
Victory Chevrolet GMC Highlands,https://www.cargurus.com/Cars/m-Victory-Chevrolet-GMC-Highlands-sp295978,"155 Robinson Dr, Triadelphia, WV 26059 (28 mi)",(304) 969-7853,https://www.victorychevroletgmchighlands.com/,93,4.5,2,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-8:00 PM SAT 9:00 AM-6:00 PM,Ohio,,,,,franchise,,,https://www.google.com/maps/search/?api=1&query=Victory%20Chevrolet%20GMC%20Highlands%20155%20Robinson%20Dr%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,Website could not be loaded
Shults Ford Wheeling,https://www.cargurus.com/Cars/m-Shults-Ford-Wheeling-sp453872,"95 Robinson Dr, Triadelphia, WV 26059 (28 mi)",(304) 576-6958,https://www.shultsfordwheeling.com/,107,5,2,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-5:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(211) 230-0000,,https://www.google.com/maps/search/?api=1&query=Shults%20Ford%20Wheeling%2095%20Robinson%20Dr%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,Website could not be loaded
Victory Toyota Highlands,https://www.cargurus.com/Cars/m-Victory-Toyota-Highlands-sp295982,"55 Robinson Dr., Triadelphia, WV 26059 (28 mi)",(304) 427-5086,https://www.victorytoyotahighlands.com/,110,5,6,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-8:00 PM SAT 9:00 AM-6:00 PM,Ohio,,,,,franchise,(304) 215-1760,https://www.victorytoyotahighlands.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,https://www.google.com/maps/search/?api=1&query=Victory%20Toyota%20Highlands%2055%20Robinson%20Dr.%2C%20Triadelphia%2C%20WV%2026059%20%2828%20mi%29,Website could not be loaded
Dunning Motor Sales Chevrolet,https://www.cargurus.com/Cars/m-Dunning-Motor-Sales-Chevrolet-sp366886,"9108 Southgate Rd, Cambridge, OH 43725 (30 mi)",(740) 218-4718,https://www.dunningmotorsalesgm.com/,276,4.65,20,WED 8:00 AM-7:00 PM MON 8:00 AM-7:00 PM THU 8:00 AM-7:00 PM TUE 8:00 AM-7:00 PM FRI 8:00 AM-6:00 PM SAT 8:00 AM-5:00 PM,Ohio,,,,,franchise,(420) 731-7736,,https://www.google.com/maps/search/?api=1&query=Dunning%20Motor%20Sales%20Chevrolet%209108%20Southgate%20Rd%2C%20Cambridge%2C%20OH%2043725%20%2830%20mi%29,Website could not be loaded
Rick's Place Auto Sales Inc,https://www.cargurus.com/Cars/m-Ricks-Place-Auto-Sales-Inc-sp288407,"61103 Southgate Road, Cambridge, OH 43725 (30 mi)",Not Specified,Not Specified,24,0,0,WED 9:00 AM-6:00 PM MON 9:00 AM-6:00 PM THU 9:00 AM-6:00 PM TUE 9:00 AM-6:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,(740) 439-2886,http://www.ricksplaceauto.com/,https://www.google.com/maps/search/?api=1&query=Rick%27s%20Place%20Auto%20Sales%20Inc%2061103%20Southgate%20Road%2C%20Cambridge%2C%20OH%2043725%20%2830%20mi%29,No dealer website provided
Jet Auto Group,https://www.cargurus.com/Cars/m-Jet-Auto-Group-sp340241,"2001 E Wheeling Ave, Cambridge, OH 43725 (31 mi)",(740) 875-3113,https://www.jetautogroup.com/,52,4.2,5,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,private,(740) 255-5784,http://www.jetautogroup.com/,https://www.google.com/maps/search/?api=1&query=Jet%20Auto%20Group%202001%20E%20Wheeling%20Ave%2C%20Cambridge%2C%20OH%2043725%20%2831%20mi%29,Website could not be loaded
Southgate Motor Sales,https://www.cargurus.com/Cars/m-Southgate-Motor-Sales-sp462314,"1310 Woodlawn Ave, Cambridge, OH 43725 (31 mi)",(740) 721-3332,https://southgatemotorsales.com,41,3,1,Not Specified,Ohio,Wayne Reaves,+17402342327,southgatemotorsalesllc@gmail.com,,private,(740) 234-2327,,https://www.google.com/maps/search/?api=1&query=Southgate%20Motor%20Sales%201310%20Woodlawn%20Ave%2C%20Cambridge%2C%20OH%2043725%20%2831%20mi%29,
Dunning Ford,https://www.cargurus.com/Cars/m-Dunning-Ford-sp412049,"1051 Southgate Pkwy, Cambridge, OH 43725 (31 mi)",(740) 696-8873,https://www.dunningford.com/,187,4.67,9,WED 8:00 AM-7:00 PM MON 8:00 AM-7:00 PM THU 8:00 AM-7:00 PM TUE 8:00 AM-7:00 PM FRI 8:00 AM-6:00 PM SAT 8:00 AM-5:00 PM,Ohio,,,,,franchise,(420) 731-7736,,https://www.google.com/maps/search/?api=1&query=Dunning%20Ford%201051%20Southgate%20Pkwy%2C%20Cambridge%2C%20OH%2043725%20%2831%20mi%29,Website could not be loaded
Matheny Ford,https://www.cargurus.com/Cars/m-Matheny-Ford-sp402157,"308 3rd St, Saint Marys, WV 26170 (33 mi)",(304) 464-9197,http://www.mathenyford.net/,96,4.67,3,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(420) 731-7736,,https://www.google.com/maps/search/?api=1&query=Matheny%20Ford%20308%203rd%20St%2C%20Saint%20Marys%2C%20WV%2026170%20%2833%20mi%29,Website could not be loaded
Hollingshead Motor Sales,https://www.cargurus.com/Cars/m-Hollingshead-Motor-Sales-sp351752,"6209 Glenn Highway, Cambridge, OH 43725 (33 mi)",(740) 508-5047,https://www.hollingsheadmotorsales.com/,61,3.63,8,WED 9:30 AM-5:30 PM MON 9:30 AM-5:30 PM THU 9:30 AM-5:30 PM TUE 9:30 AM-5:30 PM FRI 9:30 AM-5:30 PM SAT 10:00 AM-2:00 PM,Ohio,,,,,private,(740) 435-8888,http://www.hollingsheadmotorsales.com/,https://www.google.com/maps/search/?api=1&query=Hollingshead%20Motor%20Sales%206209%20Glenn%20Highway%2C%20Cambridge%2C%20OH%2043725%20%2833%20mi%29,Website could not be loaded
Pioneer Ford,https://www.cargurus.com/Cars/m-Pioneer-Ford-sp57412,"909 Pike St, Marietta, OH 45750 (37 mi)",(740) 875-2490,https://www.pioneerfordmarietta.com,128,4.5,2,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(220) 499-5012,,https://www.google.com/maps/search/?api=1&query=Pioneer%20Ford%20909%20Pike%20St%2C%20Marietta%2C%20OH%2045750%20%2837%20mi%29,Website could not be loaded
Victory Toyota Chrysler Dodge Jeep Ram Marietta,https://www.cargurus.com/Cars/m-Victory-Toyota-Chrysler-Dodge-Jeep-Ram-Marietta-sp308277,"1305 Pike St, Marietta, OH 45750 (37 mi)",(740) 842-8491,http://www.victorytoyotamarietta.com,217,5,2,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-8:00 PM SAT 9:00 AM-7:00 PM,Ohio,,,,,franchise,,,https://www.google.com/maps/search/?api=1&query=Victory%20Toyota%20Chrysler%20Dodge%20Jeep%20Ram%20Marietta%201305%20Pike%20St%2C%20Marietta%2C%20OH%2045750%20%2837%20mi%29,Website could not be loaded
SOUTH FIFTH AUTOMOTIVE LLC,https://www.cargurus.com/Cars/m-SOUTH-FIFTH-AUTOMOTIVE-LLC-sp400755,"106 Pike Street, Marietta, OH 45750 (37 mi)",Not Specified,Not Specified,11,0,0,Not Specified,Ohio,,,,,private,(740) 629-9124,http://southfifthautomotive.com/,https://www.google.com/maps/search/?api=1&query=SOUTH%20FIFTH%20AUTOMOTIVE%20LLC%20106%20Pike%20Street%2C%20Marietta%2C%20OH%2045750%20%2837%20mi%29,No dealer website provided
AWL Auto and Truck,https://www.cargurus.com/Cars/m-AWL-Auto-and-Truck-sp349396,"319 Greene St, Marietta, OH 45750 (37 mi)",Not Specified,Not Specified,18,0,0,WED 9:00 AM-6:00 PM MON 9:00 AM-6:00 PM THU 9:00 AM-6:00 PM TUE 9:00 AM-6:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,,,https://www.google.com/maps/search/?api=1&query=AWL%20Auto%20and%20Truck%20319%20Greene%20St%2C%20Marietta%2C%20OH%2045750%20%2837%20mi%29,No dealer website provided
Putnam Auto Sales Inc,https://www.cargurus.com/Cars/m-Putnam-Auto-Sales-Inc-sp351992,"200 Putnam Ave, Marietta, OH 45750 (37 mi)",Not Specified,Not Specified,33,0,0,WED 9:00 AM-5:30 PM MON 9:00 AM-5:30 PM THU 9:00 AM-5:30 PM TUE 9:00 AM-5:30 PM FRI 9:00 AM-5:30 PM SAT 10:00 AM-3:00 PM,Ohio,,,,,private,(740) 373-3900,http://putnamautomarietta.com/,https://www.google.com/maps/search/?api=1&query=Putnam%20Auto%20Sales%20Inc%20200%20Putnam%20Ave%2C%20Marietta%2C%20OH%2045750%20%2837%20mi%29,No dealer website provided
Chris Ullman Pre-Owned Autos,https://www.cargurus.com/Cars/m-Chris-Ullman-Pre-Owned-Autos-sp275265,"204 W. 3rd Street, Williamstown, WV 26187 (38 mi)",(304) 484-4861,http://www.ullmanautos.com,21,0,0,WED 9:00 AM-6:00 PM MON 9:00 AM-6:00 PM THU 9:00 AM-6:00 PM TUE 9:00 AM-6:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-1:00 PM,Ohio,,,,,private,(304) 375-2900,http://chrisullmanautos.com/,https://www.google.com/maps/search/?api=1&query=Chris%20Ullman%20Pre-Owned%20Autos%20204%20W.%203rd%20Street%2C%20Williamstown%2C%20WV%2026187%20%2838%20mi%29,Website could not be loaded
Pioneer Chevrolet,https://www.cargurus.com/Cars/m-Pioneer-Chevrolet-sp62671,"1315 Pike Street, Marietta, OH 45750 (38 mi)",(740) 660-3579,https://www.pioneerchevrolet.com/,85,5,1,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(740) 373-9127,,https://www.google.com/maps/search/?api=1&query=Pioneer%20Chevrolet%201315%20Pike%20Street%2C%20Marietta%2C%20OH%2045750%20%2838%20mi%29,Website could not be loaded
Raymond Chevrolet Buick GMC,https://www.cargurus.com/Cars/m-Raymond-Chevrolet-Buick-GMC-sp308131,"1069 Canton Road, Wintersville, OH 43953 (41 mi)",Not Specified,Not Specified,108,5,2,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(740) 314-4400,https://www.raymondchevygmc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/search/?api=1&query=Raymond%20Chevrolet%20Buick%20GMC%201069%20Canton%20Road%2C%20Wintersville%2C%20OH%2043953%20%2841%20mi%29,No dealer website provided
Lock 20 Auto,https://www.cargurus.com/Cars/m-Lock-20-Auto-sp332462,"664 E Canal St, Newcomerstown, OH 43832 (41 mi)",Not Specified,Not Specified,33,0,0,WED 9:00 AM-6:00 PM MON 9:00 AM-6:00 PM THU 9:00 AM-6:00 PM TUE 9:00 AM-6:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,(740) 498-2424,http://www.lock20auto.com/,https://www.google.com/maps/search/?api=1&query=Lock%2020%20Auto%20664%20E%20Canal%20St%2C%20Newcomerstown%2C%20OH%2043832%20%2841%20mi%29,No dealer website provided
Lyle's Auto,https://www.cargurus.com/Cars/m-Lyles-Auto-sp338314,"1451 Main St, Follansbee, WV 26037 (42 mi)",(304) 449-8655,http://www.lylesauto.com/,34,0,0,WED 8:00 AM-7:00 PM MON 8:00 AM-7:00 PM THU 8:00 AM-7:00 PM TUE 8:00 AM-7:00 PM FRI 8:00 AM-5:00 PM SAT 8:00 AM-3:00 PM,Ohio,,,,,private,(304) 527-1962,,https://www.google.com/maps/search/?api=1&query=Lyle%27s%20Auto%201451%20Main%20St%2C%20Follansbee%2C%20WV%2026037%20%2842%20mi%29,Website could not be loaded
Ohio Motor Group 3,https://www.cargurus.com/Cars/m-Ohio-Motor-Group-3-sp383587,"315 S 3rd St, Steubenville, OH 43952 (42 mi)",(740) 762-4597,https://www.ohiomotorgroup.com/steubenville-inventory.aspx?clearall=1,27,5,1,WED 10:00 AM-7:00 PM MON 10:00 AM-7:00 PM THU 10:00 AM-7:00 PM TUE 10:00 AM-7:00 PM FRI 10:00 AM-6:00 PM SAT 10:00 AM-4:00 PM,Ohio,,,,,private,(740) 633-0039,,https://www.google.com/maps/search/?api=1&query=Ohio%20Motor%20Group%203%20315%20S%203rd%20St%2C%20Steubenville%2C%20OH%2043952%20%2842%20mi%29,Website could not be loaded
Sunset Motors Group,https://www.cargurus.com/Cars/m-Sunset-Motors-Group-sp383021,"2218 Sunset Blvd, Steubenville, OH 43952 (42 mi)",Not Specified,Not Specified,59,0,0,WED 8:00 AM-5:00 PM MON 8:00 AM-8:00 PM THU 8:00 AM-8:00 PM TUE 8:00 AM-5:00 PM FRI 8:00 AM-5:00 PM SAT 9:00 AM-4:00 PM,Ohio,,,,,private,,,https://www.google.com/maps/search/?api=1&query=Sunset%20Motors%20Group%202218%20Sunset%20Blvd%2C%20Steubenville%2C%20OH%2043952%20%2842%20mi%29,No dealer website provided
SPM Fleet Services Inc,https://www.cargurus.com/Cars/m-SPM-Fleet-Services-Inc-sp463268,"1795 State Route 43, Richmond, OH 43944 (42 mi)",(740) 245-6238,https://spmfleetinc.com/,7,5,1,Not Specified,Ohio,,,,,private,(333) 333-3333,,https://www.google.com/maps/search/?api=1&query=SPM%20Fleet%20Services%20Inc%201795%20State%20Route%2043%2C%20Richmond%2C%20OH%2043944%20%2842%20mi%29,Website could not be loaded
Team Ford Steubenville,https://www.cargurus.com/Cars/m-Team-Ford-Steubenville-sp308130,"905 Brady Avenue, Steubenville, OH 43952 (42 mi)",Not Specified,Not Specified,239,5,2,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(740) 283-4131,https://www.steubenvilleteamford.com/,https://www.google.com/maps/search/?api=1&query=Team%20Ford%20Steubenville%20905%20Brady%20Avenue%2C%20Steubenville%2C%20OH%2043952%20%2842%20mi%29,No dealer website provided
Jerry's Auto Mart,https://www.cargurus.com/Cars/m-Jerrys-Auto-Mart-sp344294,"1715 Jared Street, Uhrichsville, OH 44683 (43 mi)",Not Specified,Not Specified,27,0,0,WED 9:00 AM-6:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-6:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,(740) 922-6515,http://jerrysautomart.com/,https://www.google.com/maps/search/?api=1&query=Jerry%27s%20Auto%20Mart%201715%20Jared%20Street%2C%20Uhrichsville%2C%20OH%2044683%20%2843%20mi%29,No dealer website provided
